class,precision,recall,f1,support,class_accuracy,roc_auc
apple,0.7596153846153846,0.79,0.7745098039215687,100,0.79,0.9516171717171716
aquarium_fish,0.788235294117647,0.67,0.7243243243243244,100,0.67,0.9429545454545455
baby,0.6703296703296703,0.61,0.6387434554973822,100,0.61,0.8898868686868687
bear,0.8045977011494253,0.7,0.7486631016042781,100,0.7,0.9024737373737373
beaver,0.7578947368421053,0.72,0.7384615384615385,100,0.72,0.9208484848484848
bed,0.7653061224489796,0.75,0.7575757575757576,100,0.75,0.9603929292929293
bee,0.7,0.77,0.7333333333333333,100,0.77,0.9420303030303031
beetle,0.6979166666666666,0.67,0.6836734693877551,100,0.67,0.9112393939393939
bicycle,0.7419354838709677,0.69,0.7150259067357513,100,0.69,0.9374030303030302
bottle,0.82,0.82,0.82,100,0.82,0.9634282828282829
bowl,0.8144329896907216,0.79,0.8020304568527918,100,0.79,0.9590797979797979
boy,0.7083333333333334,0.68,0.6938775510204082,100,0.68,0.9045222222222222
bridge,0.7064220183486238,0.77,0.7368421052631579,100,0.77,0.9659767676767677
bus,0.8252427184466019,0.85,0.8374384236453202,100,0.85,0.9719222222222222
butterfly,0.7684210526315789,0.73,0.7487179487179487,100,0.73,0.936422222222222
camel,0.7064220183486238,0.77,0.7368421052631579,100,0.77,0.9478919191919192
can,0.7640449438202247,0.68,0.7195767195767195,100,0.68,0.9175676767676767
castle,0.8043478260869565,0.74,0.7708333333333334,100,0.74,0.9524
caterpillar,0.6442307692307693,0.67,0.6568627450980392,100,0.67,0.8943565656565655
cattle,0.6842105263157895,0.78,0.7289719626168224,100,0.78,0.937370707070707
chair,0.6697247706422018,0.73,0.6985645933014354,100,0.73,0.9550313131313131
chimpanzee,0.7204301075268817,0.67,0.694300518134715,100,0.67,0.9119343434343434
clock,0.7378640776699029,0.76,0.7487684729064039,100,0.76,0.9451959595959596
cloud,0.7333333333333333,0.77,0.751219512195122,100,0.77,0.9749848484848486
cockroach,0.7352941176470589,0.75,0.7425742574257426,100,0.75,0.9309636363636363
couch,0.7596153846153846,0.79,0.7745098039215687,100,0.79,0.9763373737373737
crab,0.7142857142857143,0.75,0.7317073170731707,100,0.75,0.9414626262626262
crocodile,0.7446808510638298,0.7,0.7216494845360825,100,0.7,0.938889898989899
cup,0.7142857142857143,0.75,0.7317073170731707,100,0.75,0.9460484848484848
dinosaur,0.8,0.72,0.7578947368421053,100,0.72,0.9337474747474748
dolphin,0.7117117117117117,0.79,0.7488151658767772,100,0.79,0.9649111111111112
elephant,0.75,0.63,0.6847826086956522,100,0.63,0.9094737373737374
flatfish,0.8137254901960784,0.83,0.8217821782178217,100,0.83,0.9612545454545454
forest,0.7181818181818181,0.79,0.7523809523809524,100,0.79,0.9643383838383839
fox,0.7238095238095238,0.76,0.7414634146341463,100,0.76,0.9524323232323233
girl,0.7788461538461539,0.81,0.7941176470588235,100,0.81,0.935049494949495
hamster,0.7623762376237624,0.77,0.7661691542288557,100,0.77,0.9516747474747475
house,0.7959183673469388,0.78,0.7878787878787878,100,0.78,0.9636414141414141
kangaroo,0.7766990291262136,0.8,0.7881773399014779,100,0.8,0.9502686868686867
keyboard,0.7766990291262136,0.8,0.7881773399014779,100,0.8,0.959750505050505
lamp,0.7623762376237624,0.77,0.7661691542288557,100,0.77,0.953
lawn_mower,0.7956989247311828,0.74,0.7668393782383419,100,0.74,0.9377030303030303
leopard,0.7752808988764045,0.69,0.7301587301587301,100,0.69,0.9016646464646465
lion,0.7777777777777778,0.77,0.7738693467336684,100,0.77,0.9372474747474748
lizard,0.7281553398058253,0.75,0.7389162561576355,100,0.75,0.9324838383838384
lobster,0.7128712871287128,0.72,0.7164179104477612,100,0.72,0.9326808080808081
man,0.7872340425531915,0.74,0.7628865979381443,100,0.74,0.9344949494949495
maple_tree,0.7281553398058253,0.75,0.7389162561576355,100,0.75,0.9536868686868687
