class,precision,recall,f1,support,class_accuracy,roc_auc
apple,0.8191489361702128,0.77,0.7938144329896907,100,0.77,0.9573888888888888
aquarium_fish,0.7634408602150538,0.71,0.7357512953367875,100,0.71,0.8954828282828283
baby,0.75,0.75,0.75,100,0.75,0.9449868686868687
bear,0.7272727272727273,0.72,0.7236180904522613,100,0.72,0.9238868686868688
beaver,0.8041237113402062,0.78,0.7918781725888325,100,0.78,0.9438282828282828
bed,0.865979381443299,0.84,0.8527918781725888,100,0.84,0.9664707070707071
bee,0.7676767676767676,0.76,0.7638190954773869,100,0.76,0.9312696969696969
beetle,0.7428571428571429,0.78,0.7609756097560976,100,0.78,0.9446666666666667
bicycle,0.7676767676767676,0.76,0.7638190954773869,100,0.76,0.9467141414141415
bottle,0.8585858585858586,0.85,0.8542713567839196,100,0.85,0.9678464646464646
bowl,0.826530612244898,0.81,0.8181818181818182,100,0.81,0.9713959595959596
boy,0.7872340425531915,0.74,0.7628865979381443,100,0.74,0.9226444444444444
bridge,0.8064516129032258,0.75,0.7772020725388601,100,0.75,0.9607818181818182
bus,0.7920792079207921,0.8,0.7960199004975125,100,0.8,0.9637464646464646
butterfly,0.719626168224299,0.77,0.7439613526570048,100,0.77,0.9331121212121212
camel,0.7551020408163265,0.74,0.7474747474747475,100,0.74,0.9643525252525252
can,0.8478260869565217,0.78,0.8125,100,0.78,0.9768585858585859
castle,0.803921568627451,0.82,0.8118811881188119,100,0.82,0.957789898989899
caterpillar,0.7450980392156863,0.76,0.7524752475247525,100,0.76,0.9462393939393938
cattle,0.7029702970297029,0.71,0.7064676616915423,100,0.71,0.9073272727272726
chair,0.8285714285714286,0.87,0.848780487804878,100,0.87,0.9789161616161616
chimpanzee,0.7938144329896907,0.77,0.7817258883248731,100,0.77,0.9637272727272728
clock,0.8686868686868687,0.86,0.864321608040201,100,0.86,0.968129292929293
cloud,0.7352941176470589,0.75,0.7425742574257426,100,0.75,0.9391464646464646
cockroach,0.7142857142857143,0.75,0.7317073170731707,100,0.75,0.9311717171717172
couch,0.7830188679245284,0.83,0.8058252427184466,100,0.83,0.9607737373737374
crab,0.7570093457943925,0.81,0.782608695652174,100,0.81,0.9384747474747475
crocodile,0.7653061224489796,0.75,0.7575757575757576,100,0.75,0.9335949494949496
cup,0.8,0.88,0.8380952380952381,100,0.88,0.9596838383838384
dinosaur,0.8085106382978723,0.76,0.7835051546391752,100,0.76,0.9341727272727274
dolphin,0.8152173913043478,0.75,0.78125,100,0.75,0.9201333333333332
elephant,0.8241758241758241,0.75,0.7853403141361257,100,0.75,0.9507515151515151
flatfish,0.7850467289719626,0.84,0.8115942028985508,100,0.84,0.9538787878787879
forest,0.8,0.72,0.7578947368421053,100,0.72,0.9484262626262627
fox,0.7155963302752294,0.78,0.7464114832535885,100,0.78,0.9367505050505051
girl,0.7444444444444445,0.67,0.7052631578947368,100,0.67,0.9360303030303031
hamster,0.7766990291262136,0.8,0.7881773399014779,100,0.8,0.9578838383838384
house,0.7727272727272727,0.85,0.8095238095238095,100,0.85,0.9623141414141414
kangaroo,0.8118811881188119,0.82,0.8159203980099502,100,0.82,0.9351111111111109
keyboard,0.79,0.79,0.79,100,0.79,0.962829292929293
lamp,0.7807017543859649,0.89,0.8317757009345794,100,0.89,0.9736484848484849
lawn_mower,0.7714285714285715,0.81,0.7902439024390244,100,0.81,0.9549333333333333
leopard,0.7604166666666666,0.73,0.7448979591836735,100,0.73,0.910540404040404
lion,0.8241758241758241,0.75,0.7853403141361257,100,0.75,0.9332222222222222
lizard,0.8260869565217391,0.76,0.7916666666666666,100,0.76,0.9419454545454544
lobster,0.7628865979381443,0.74,0.751269035532995,100,0.74,0.9412
man,0.7075471698113207,0.75,0.7281553398058253,100,0.75,0.9258525252525251
maple_tree,0.8,0.8,0.8,100,0.8,0.9584444444444444
motorcycle,0.8316831683168316,0.84,0.835820895522388,100,0.84,0.9627646464646464
mountain,0.7685185185185185,0.83,0.7980769230769231,100,0.83,0.9725252525252526
mouse,0.8351648351648352,0.76,0.7958115183246073,100,0.76,0.9370464646464646
mushroom,0.7941176470588235,0.81,0.801980198019802,100,0.81,0.9707161616161617
oak_tree,0.7523809523809524,0.79,0.7707317073170732,100,0.79,0.9445858585858586
orange,0.7522935779816514,0.82,0.784688995215311,100,0.82,0.9559232323232324
orchid,0.7575757575757576,0.75,0.7537688442211056,100,0.75,0.9474838383838384
otter,0.7641509433962265,0.81,0.7864077669902912,100,0.81,0.9553606060606061
palm_tree,0.7647058823529411,0.78,0.7722772277227723,100,0.78,0.9477616161616161
pear,0.7884615384615384,0.82,0.803921568627451,100,0.82,0.9609202020202021
pickup_truck,0.8210526315789474,0.78,0.8,100,0.78,0.9608686868686869
pine_tree,0.7636363636363637,0.84,0.8,100,0.84,0.9779030303030304
plain,0.7731958762886598,0.75,0.7614213197969543,100,0.75,0.9437050505050505
plate,0.7956989247311828,0.74,0.7668393782383419,100,0.74,0.9265232323232322
poppy,0.7431192660550459,0.81,0.7751196172248804,100,0.81,0.9618353535353535
porcupine,0.7383177570093458,0.79,0.7632850241545893,100,0.79,0.9277070707070707
possum,0.7549019607843137,0.77,0.7623762376237624,100,0.77,0.9657414141414142
rabbit,0.7777777777777778,0.77,0.7738693467336684,100,0.77,0.9263050505050507
raccoon,0.7473684210526316,0.71,0.7282051282051282,100,0.71,0.9303919191919192
ray,0.7872340425531915,0.74,0.7628865979381443,100,0.74,0.9321767676767677
