class,precision,recall,f1,support,class_accuracy,roc_auc
apple,0.7474747474747475,0.74,0.7437185929648241,100,0.74,0.9428292929292929
aquarium_fish,0.7708333333333334,0.74,0.7551020408163265,100,0.74,0.9169989898989899
baby,0.7011494252873564,0.61,0.6524064171122995,100,0.61,0.9018151515151516
bear,0.7227722772277227,0.73,0.7263681592039801,100,0.73,0.9455727272727273
beaver,0.7087378640776699,0.73,0.7192118226600985,100,0.73,0.9336979797979799
bed,0.696078431372549,0.71,0.7029702970297029,100,0.71,0.9289656565656566
bee,0.723404255319149,0.68,0.7010309278350515,100,0.68,0.9335777777777777
beetle,0.6509433962264151,0.69,0.6699029126213593,100,0.69,0.9449272727272728
bicycle,0.78,0.78,0.78,100,0.78,0.9365242424242424
bottle,0.7717391304347826,0.71,0.7395833333333334,100,0.71,0.9563848484848484
bowl,0.7314814814814815,0.79,0.7596153846153846,100,0.79,0.9487969696969698
boy,0.7128712871287128,0.72,0.7164179104477612,100,0.72,0.9260030303030303
bridge,0.7422680412371134,0.72,0.7309644670050761,100,0.72,0.9458222222222222
bus,0.6451612903225806,0.8,0.7142857142857143,100,0.8,0.9455797979797981
butterfly,0.7558139534883721,0.65,0.6989247311827957,100,0.65,0.9322171717171717
camel,0.6595744680851063,0.62,0.6391752577319587,100,0.62,0.8904070707070706
can,0.7032967032967034,0.64,0.6701570680628273,100,0.64,0.9164171717171716
castle,0.7422680412371134,0.72,0.7309644670050761,100,0.72,0.9312878787878788
caterpillar,0.7289719626168224,0.78,0.7536231884057971,100,0.78,0.951930303030303
cattle,0.6396396396396397,0.71,0.6729857819905213,100,0.71,0.9331585858585858
chair,0.6576576576576577,0.73,0.6919431279620853,100,0.73,0.9358191919191918
chimpanzee,0.672,0.84,0.7466666666666667,100,0.84,0.9445979797979799
clock,0.7142857142857143,0.75,0.7317073170731707,100,0.75,0.9488474747474748
cloud,0.7641509433962265,0.81,0.7864077669902912,100,0.81,0.9589151515151515
cockroach,0.7741935483870968,0.72,0.7461139896373057,100,0.72,0.9547323232323232
couch,0.7027027027027027,0.78,0.7393364928909952,100,0.78,0.9391010101010101
crab,0.6407766990291263,0.66,0.6502463054187192,100,0.66,0.9438181818181818
crocodile,0.7590361445783133,0.63,0.6885245901639344,100,0.63,0.8965717171717171
cup,0.7395833333333334,0.71,0.7244897959183674,100,0.71,0.9377262626262626
dinosaur,0.6881720430107527,0.64,0.6632124352331606,100,0.64,0.9174373737373738
dolphin,0.7425742574257426,0.75,0.746268656716418,100,0.75,0.9236222222222222
elephant,0.7684210526315789,0.73,0.7487179487179487,100,0.73,0.946370707070707
flatfish,0.7087378640776699,0.73,0.7192118226600985,100,0.73,0.9260363636363637
forest,0.6666666666666666,0.7,0.6829268292682927,100,0.7,0.9307363636363635
fox,0.78125,0.75,0.7653061224489796,100,0.75,0.9301444444444444
girl,0.7083333333333334,0.68,0.6938775510204082,100,0.68,0.9136080808080808
hamster,0.7802197802197802,0.71,0.743455497382199,100,0.71,0.9399828282828283
house,0.7395833333333334,0.71,0.7244897959183674,100,0.71,0.9255070707070706
kangaroo,0.7065217391304348,0.65,0.6770833333333334,100,0.65,0.9344252525252525
keyboard,0.75,0.78,0.7647058823529411,100,0.78,0.9440222222222223
lamp,0.6826923076923077,0.71,0.696078431372549,100,0.71,0.9442929292929293
lawn_mower,0.6907216494845361,0.67,0.6802030456852792,100,0.67,0.9341747474747474
leopard,0.7157894736842105,0.68,0.6974358974358974,100,0.68,0.9313767676767676
lion,0.7311827956989247,0.68,0.7046632124352331,100,0.68,0.9330515151515152
lizard,0.6666666666666666,0.66,0.6633165829145728,100,0.66,0.886970707070707
lobster,0.7111111111111111,0.64,0.6736842105263158,100,0.64,0.9161313131313132
man,0.64,0.64,0.64,100,0.64,0.941490909090909
maple_tree,0.7586206896551724,0.66,0.7058823529411765,100,0.66,0.9284171717171716
motorcycle,0.7578947368421053,0.72,0.7384615384615385,100,0.72,0.9441101010101011
mountain,0.7272727272727273,0.72,0.7236180904522613,100,0.72,0.9331242424242424
mouse,0.7741935483870968,0.72,0.7461139896373057,100,0.72,0.9366848484848485
mushroom,0.7254901960784313,0.74,0.7326732673267327,100,0.74,0.9516424242424242
oak_tree,0.7428571428571429,0.78,0.7609756097560976,100,0.78,0.9316424242424243
orange,0.7452830188679245,0.79,0.7669902912621359,100,0.79,0.9598757575757576
orchid,0.7980769230769231,0.83,0.8137254901960784,100,0.83,0.9526767676767677
otter,0.6938775510204082,0.68,0.6868686868686869,100,0.68,0.9151474747474747
palm_tree,0.7227722772277227,0.73,0.7263681592039801,100,0.73,0.9415383838383838
pear,0.6694915254237288,0.79,0.7247706422018348,100,0.79,0.9605424242424242
pickup_truck,0.7549019607843137,0.77,0.7623762376237624,100,0.77,0.9269060606060606
pine_tree,0.6875,0.66,0.673469387755102,100,0.66,0.929769696969697
plain,0.6666666666666666,0.7,0.6829268292682927,100,0.7,0.9474535353535354
plate,0.7102803738317757,0.76,0.7342995169082126,100,0.76,0.9333696969696971
poppy,0.6767676767676768,0.67,0.6733668341708543,100,0.67,0.9429353535353535
porcupine,0.7448979591836735,0.73,0.7373737373737373,100,0.73,0.9357717171717173
possum,0.7641509433962265,0.81,0.7864077669902912,100,0.81,0.9393949494949494
rabbit,0.723404255319149,0.68,0.7010309278350515,100,0.68,0.9485606060606061
raccoon,0.7717391304347826,0.71,0.7395833333333334,100,0.71,0.9044181818181818
ray,0.6759259259259259,0.73,0.7019230769230769,100,0.73,0.9143333333333333
road,0.75,0.69,0.71875,100,0.69,0.9406151515151515
rocket,0.696078431372549,0.71,0.7029702970297029,100,0.71,0.9248212121212123
rose,0.7326732673267327,0.74,0.736318407960199,100,0.74,0.9514434343434344
sea,0.7346938775510204,0.72,0.7272727272727273,100,0.72,0.9387141414141414
seal,0.7647058823529411,0.78,0.7722772277227723,100,0.78,0.9374818181818182
shark,0.6601941747572816,0.68,0.6699507389162561,100,0.68,0.9000626262626262
shrew,0.6764705882352942,0.69,0.6831683168316832,100,0.69,0.9294646464646465
skunk,0.6727272727272727,0.74,0.7047619047619048,100,0.74,0.9489222222222222
skyscraper,0.7,0.84,0.7636363636363637,100,0.84,0.9657181818181818
snail,0.7411764705882353,0.63,0.6810810810810811,100,0.63,0.8996707070707071
snake,0.6979166666666666,0.67,0.6836734693877551,100,0.67,0.9367808080808081
spider,0.7926829268292683,0.65,0.7142857142857143,100,0.65,0.9183171717171716
squirrel,0.6952380952380952,0.73,0.7121951219512195,100,0.73,0.9375212121212121
streetcar,0.8252427184466019,0.85,0.8374384236453202,100,0.85,0.9665363636363636
sunflower,0.7307692307692307,0.76,0.7450980392156863,100,0.76,0.9232535353535353
sweet_pepper,0.7171717171717171,0.71,0.7135678391959799,100,0.71,0.9262747474747476
table,0.7613636363636364,0.67,0.7127659574468085,100,0.67,0.9253525252525252
tank,0.7272727272727273,0.72,0.7236180904522613,100,0.72,0.9378464646464647
telephone,0.8316831683168316,0.84,0.835820895522388,100,0.84,0.9823010101010101
television,0.6637168141592921,0.75,0.704225352112676,100,0.75,0.9474666666666667
tiger,0.6956521739130435,0.64,0.6666666666666666,100,0.64,0.9109959595959596
tractor,0.6396396396396397,0.71,0.6729857819905213,100,0.71,0.9326646464646464
train,0.7352941176470589,0.75,0.7425742574257426,100,0.75,0.9443686868686869
trout,0.7653061224489796,0.75,0.7575757575757576,100,0.75,0.9070181818181817
tulip,0.7570093457943925,0.81,0.782608695652174,100,0.81,0.9585070707070708
turtle,0.7368421052631579,0.7,0.717948717948718,100,0.7,0.9431040404040404
wardrobe,0.7169811320754716,0.76,0.7378640776699029,100,0.76,0.9623383838383838
whale,0.711340206185567,0.69,0.700507614213198,100,0.69,0.8945424242424241
willow_tree,0.7142857142857143,0.8,0.7547169811320755,100,0.8,0.9605292929292929
wolf,0.735632183908046,0.64,0.6844919786096256,100,0.64,0.8901212121212122
woman,0.75,0.69,0.71875,100,0.69,0.9190565656565657
worm,0.5980392156862745,0.61,0.6039603960396039,100,0.61,0.9368636363636362
macro_avg,0.720573753988369,0.7190999999999999,0.7187021444229547,10000,0.7190999999999999,0.9341941515151515
weighted_avg,0.7205737539883691,0.7191,0.7187021444229544,10000,0.7190999999999999,0.9341941515151515
overall,,,,10000,0.7191,0.9341941515151515
