class,precision,recall,f1,support,class_accuracy,roc_auc
n03599486,0.6382978723404256,0.6,0.6185567010309279,50,0.6,0.8517547738693466
n04562935,0.7291666666666666,0.7,0.7142857142857143,50,0.7,0.9256964824120604
n03014705,0.7021276595744681,0.66,0.6804123711340206,50,0.66,0.9093447236180905
n04251144,0.5423728813559322,0.64,0.5871559633027523,50,0.64,0.9293467336683418
n04356056,0.6956521739130435,0.64,0.6666666666666666,50,0.64,0.9185668341708544
n02190166,0.6739130434782609,0.62,0.6458333333333334,50,0.62,0.8820542713567839
n03670208,0.5925925925925926,0.64,0.6153846153846154,50,0.64,0.843270351758794
n02002724,0.6346153846153846,0.66,0.6470588235294118,50,0.66,0.894729648241206
n02074367,0.7222222222222222,0.78,0.75,50,0.78,0.9299778894472363
n04285008,0.660377358490566,0.7,0.6796116504854369,50,0.7,0.8944763819095477
n04560804,0.7,0.7,0.7,50,0.7,0.8894793969849246
n04366367,0.725,0.58,0.6444444444444445,50,0.58,0.8461306532663316
n02403003,0.7021276595744681,0.66,0.6804123711340206,50,0.66,0.9259095477386935
n07615774,0.6818181818181818,0.6,0.6382978723404256,50,0.6,0.8954472361809045
n04501370,0.7,0.7,0.7,50,0.7,0.9207437185929647
n03026506,0.7073170731707317,0.58,0.6373626373626373,50,0.58,0.9131095477386935
n02906734,0.6666666666666666,0.68,0.6732673267326733,50,0.68,0.8993949748743718
n01770393,0.6290322580645161,0.78,0.6964285714285714,50,0.78,0.935175879396985
n04597913,0.6842105263157895,0.78,0.7289719626168224,50,0.78,0.9483075376884422
n03930313,0.6545454545454545,0.72,0.6857142857142857,50,0.72,0.8987236180904523
n04118538,0.5652173913043478,0.52,0.5416666666666666,50,0.52,0.8592522613065325
n04179913,0.6521739130434783,0.6,0.625,50,0.6,0.8922130653266331
n04311004,0.6166666666666667,0.74,0.6727272727272727,50,0.74,0.9306974874371858
n02123394,0.6333333333333333,0.76,0.6909090909090909,50,0.76,0.9687477386934674
n04070727,0.6545454545454545,0.72,0.6857142857142857,50,0.72,0.9379939698492462
n02793495,0.7777777777777778,0.7,0.7368421052631579,50,0.7,0.9079939698492462
n02730930,0.6785714285714286,0.76,0.7169811320754716,50,0.76,0.9361788944723618
n02094433,0.7941176470588235,0.54,0.6428571428571429,50,0.54,0.907224120603015
n04371430,0.625,0.7,0.660377358490566,50,0.7,0.9202994974874372
n04328186,0.6792452830188679,0.72,0.6990291262135923,50,0.72,0.9254814070351759
n03649909,0.75,0.66,0.7021276595744681,50,0.66,0.8991798994974874
n04417672,0.6346153846153846,0.66,0.6470588235294118,50,0.66,0.8752984924623116
n03388043,0.7435897435897436,0.58,0.651685393258427,50,0.58,0.8698030150753768
n01774384,0.6730769230769231,0.7,0.6862745098039216,50,0.7,0.9120643216080403
n02837789,0.64,0.64,0.64,50,0.64,0.9047999999999999
n07579787,0.6326530612244898,0.62,0.6262626262626263,50,0.62,0.9129849246231155
n04399382,0.68,0.68,0.68,50,0.68,0.926470351758794
n02791270,0.6545454545454545,0.72,0.6857142857142857,50,0.72,0.9207477386934675
n03089624,0.6530612244897959,0.64,0.6464646464646465,50,0.64,0.9081849246231156
n02814533,0.6,0.54,0.5684210526315789,50,0.54,0.8829085427135678
n04149813,0.7272727272727273,0.64,0.6808510638297872,50,0.64,0.8988683417085427
n07747607,0.7647058823529411,0.78,0.7722772277227723,50,0.78,0.9445467336683416
n03355925,0.6595744680851063,0.62,0.6391752577319587,50,0.62,0.8663256281407036
n01983481,0.6792452830188679,0.72,0.6990291262135923,50,0.72,0.9267396984924623
n04487081,0.66,0.66,0.66,50,0.66,0.8969306532663316
n03250847,0.603448275862069,0.7,0.6481481481481481,50,0.7,0.9103758793969848
n03255030,0.6607142857142857,0.74,0.6981132075471698,50,0.74,0.8967035175879398
n02892201,0.6428571428571429,0.54,0.5869565217391305,50,0.54,0.881694472361809
n02883205,0.6153846153846154,0.64,0.6274509803921569,50,0.64,0.9216824120603015
n03100240,0.6730769230769231,0.7,0.6862745098039216,50,0.7,0.9268482412060302
n02415577,0.6862745098039216,0.7,0.693069306930693,50,0.7,0.9185346733668341
n02480495,0.6545454545454545,0.72,0.6857142857142857,50,0.72,0.9328663316582915
n01698640,0.7555555555555555,0.68,0.7157894736842105,50,0.68,0.9192804020100502
n01784675,0.5263157894736842,0.6,0.5607476635514018,50,0.6,0.8817065326633166
n04376876,0.7333333333333333,0.66,0.6947368421052632,50,0.66,0.9309346733668341
n03444034,0.6140350877192983,0.7,0.6542056074766355,50,0.7,0.9257628140703519
n01917289,0.7142857142857143,0.6,0.6521739130434783,50,0.6,0.9094050251256282
n01950731,0.6346153846153846,0.66,0.6470588235294118,50,0.66,0.905591959798995
n03042490,0.6666666666666666,0.72,0.6923076923076923,50,0.72,0.9073246231155779
n07711569,0.7111111111111111,0.64,0.6736842105263158,50,0.64,0.8682954773869346
n04532670,0.74,0.74,0.74,50,0.74,0.9329085427135678
n03763968,0.574468085106383,0.54,0.5567010309278351,50,0.54,0.879654271356784
n07768694,0.62,0.62,0.62,50,0.62,0.878424120603015
