class,precision,recall,f1,support,class_accuracy,roc_auc
palm_tree,0.7706422018348624,0.84,0.8038277511961722,100,0.84,0.9408595959595959
pear,0.7636363636363637,0.84,0.8,100,0.84,0.9324717171717173
pickup_truck,0.8279569892473119,0.77,0.7979274611398963,100,0.77,0.9265484848484847
pine_tree,0.7909090909090909,0.87,0.8285714285714286,100,0.87,0.9345111111111112
plain,0.7476635514018691,0.8,0.7729468599033816,100,0.8,0.9345060606060606
plate,0.7448979591836735,0.73,0.7373737373737373,100,0.73,0.9192565656565657
poppy,0.7672413793103449,0.89,0.8240740740740741,100,0.89,0.973340404040404
porcupine,0.7333333333333333,0.77,0.751219512195122,100,0.77,0.9117333333333333
possum,0.7522123893805309,0.85,0.7981220657276995,100,0.85,0.9359626262626264
rabbit,0.7934782608695652,0.73,0.7604166666666666,100,0.73,0.9082434343434344
raccoon,0.7524752475247525,0.76,0.7562189054726368,100,0.76,0.9061838383838383
ray,0.8333333333333334,0.8,0.8163265306122449,100,0.8,0.9116929292929292
road,0.7959183673469388,0.78,0.7878787878787878,100,0.78,0.9152868686868688
rocket,0.7857142857142857,0.88,0.8301886792452831,100,0.88,0.9605191919191918
rose,0.8076923076923077,0.84,0.8235294117647058,100,0.84,0.9284323232323233
sea,0.7714285714285715,0.81,0.7902439024390244,100,0.81,0.9466575757575757
seal,0.8125,0.78,0.7959183673469388,100,0.78,0.9192161616161615
shark,0.78,0.78,0.78,100,0.78,0.9021848484848486
shrew,0.7735849056603774,0.82,0.7961165048543689,100,0.82,0.9382393939393939
skunk,0.8414634146341463,0.69,0.7582417582417582,100,0.69,0.8879191919191919
skyscraper,0.8415841584158416,0.85,0.845771144278607,100,0.85,0.9435959595959597
snail,0.7894736842105263,0.75,0.7692307692307693,100,0.75,0.9022656565656565
snake,0.8023255813953488,0.69,0.7419354838709677,100,0.69,0.8781666666666667
spider,0.7473684210526316,0.71,0.7282051282051282,100,0.71,0.8820858585858585
squirrel,0.7745098039215687,0.79,0.7821782178217822,100,0.79,0.9112505050505051
streetcar,0.8351648351648352,0.76,0.7958115183246073,100,0.76,0.8996959595959596
sunflower,0.7647058823529411,0.78,0.7722772277227723,100,0.78,0.9274757575757575
sweet_pepper,0.7889908256880734,0.86,0.8229665071770335,100,0.86,0.946579797979798
table,0.84,0.84,0.84,100,0.84,0.9423292929292929
tank,0.7572815533980582,0.78,0.7684729064039408,100,0.78,0.9177666666666666
telephone,0.8269230769230769,0.86,0.8431372549019608,100,0.86,0.9654686868686868
television,0.8252427184466019,0.85,0.8374384236453202,100,0.85,0.9718131313131313
tiger,0.8444444444444444,0.76,0.8,100,0.76,0.8595575757575757
tractor,0.8113207547169812,0.86,0.8349514563106796,100,0.86,0.9649646464646465
train,0.7884615384615384,0.82,0.803921568627451,100,0.82,0.9510424242424242
trout,0.7395833333333334,0.71,0.7244897959183674,100,0.71,0.8791181818181818
tulip,0.8018867924528302,0.85,0.8252427184466019,100,0.85,0.9753464646464647
turtle,0.7821782178217822,0.79,0.7860696517412935,100,0.79,0.9293424242424242
wardrobe,0.8478260869565217,0.78,0.8125,100,0.78,0.878159595959596
whale,0.7878787878787878,0.78,0.7839195979899497,100,0.78,0.8709212121212121
willow_tree,0.8207547169811321,0.87,0.8446601941747572,100,0.87,0.9565989898989898
wolf,0.7849462365591398,0.73,0.7564766839378239,100,0.73,0.9013757575757575
woman,0.7653061224489796,0.75,0.7575757575757576,100,0.75,0.9007858585858585
worm,0.7289719626168224,0.78,0.7536231884057971,100,0.78,0.9115909090909091
macro_avg,0.7905317646491179,0.7896000000000001,0.7891402982884841,10000,0.7896000000000001,0.9211363333333334
weighted_avg,0.7905317646491179,0.7896,0.7891402982884843,10000,0.7896000000000001,0.9211363333333332
overall,,,,10000,0.7896,0.9211363333333334
