Unnamed: 0,Dataset,WithinGroupDiversity,InterGroupDiversity,CombinedFairnessDiversityScore
0,DiverseDataset,0.8275652568579748,0.3597528384326919,0.5897085051985597
1,FFHQ,0.8506788314500264,0.35770723837067525,0.5899905922900881
2,IMDB,0.8170733646224478,0.34978077797709717,0.5773524444048177
3,LFW,0.8231698335124686,0.3590758179376215,0.5829037024476577
4,UTK,0.7800953793224976,0.3526194795399322,0.5880319781060412
5,WIKI,0.8429035276572447,0.3584270351914714,0.6000467356600361
